City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,san mariano,7.5,126.0,23.0,94,91,0.9,PH,1683839362
254,maumere,-8.6199,122.2111,26.15,78,82,3.69,ID,1683839362
255,banda aceh,5.5577,95.3222,26.83,79,91,1.51,ID,1683839362
256,crane,31.3974,-102.3501,30.05,8,0,6.99,US,1683839362
257,zdvinsk,54.7021,78.661,5.25,88,5,2.52,RU,1683839363
258,al jawf,29.5,38.75,27.4,11,0,6.03,SA,1683839363
259,praia da vitoria,38.7333,-27.0667,17.64,95,57,4.13,PT,1683839248
260,ta`u,-14.2336,-169.5144,27.72,78,21,4.54,AS,1683839363
261,kourou,5.1552,-52.6478,25.03,92,82,4.46,GF,1683839363
262,stanthorpe,-28.6667,151.95,10.79,94,61,2.47,AU,1683839364
263,goderich,43.7501,-81.7165,18.28,68,8,2.35,CA,1683839221
264,salalah,17.0151,54.0924,29.05,65,0,0.51,OM,1683839364
265,guerrero negro,27.9769,-114.0611,18.42,60,35,9.8,MX,1683839364
266,okha,53.5739,142.9478,0.64,88,11,2.24,RU,1683839364
267,gibara,21.1097,-76.1317,26.62,65,34,5.69,CU,1683839370
268,kodiak,57.79,-152.4072,6.73,81,100,7.2,US,1683839196
269,port elizabeth,-33.918,25.5701,17.16,99,100,1.54,ZA,1683839192
270,semey,50.4111,80.2275,16.06,55,94,4.81,KZ,1683839370
271,acapulco de juarez,16.8634,-99.8901,30.9,66,75,6.69,MX,1683839129
272,poso,-1.3959,120.7524,24.76,87,98,2.13,ID,1683839371
273,st. john's,47.5649,-52.7093,10.66,42,75,9.77,CA,1683839112
274,kogalym,62.2654,74.4791,-4.95,65,10,4.86,RU,1683839372
275,poronaysk,49.2167,143.1167,4.17,79,100,1.21,RU,1683839372
276,fianarantsoa,-21.4333,47.0833,16.03,93,100,1.6,MG,1683839372
277,ljusdal,61.8288,16.0913,11.37,69,24,0.64,SE,1683839372
278,le port,-20.9373,55.2919,24.98,87,96,2.69,RE,1683839373
279,lerwick,60.1545,-1.1494,9.0,90,2,3.63,GB,1683839373
280,moyynkum,44.2914,72.9469,25.36,26,100,0.92,KZ,1683839373
281,noosa heads,-26.3833,153.15,16.85,74,11,5.88,AU,1683839373
282,thunder bay,48.4001,-89.3168,16.08,78,97,1.84,CA,1683839374
283,port hedland,-20.3167,118.5667,20.03,24,4,4.12,AU,1683839374
284,new norfolk,-42.7826,147.0587,8.84,67,100,0.89,AU,1683839374
285,zhelezinka,53.54,75.3072,9.94,56,48,3.37,KZ,1683839374
286,prince rupert,54.3161,-130.3201,14.04,50,100,2.46,CA,1683839374
287,kingston,17.997,-76.7936,30.13,75,0,0.45,JM,1683839304
288,laojunmiao,39.8333,97.7333,10.81,19,41,4.48,CN,1683839249
289,turkestan,43.3333,68.25,23.74,31,99,2.54,KZ,1683839375
290,tura,25.5198,90.2201,22.62,69,34,1.15,IN,1683839375
291,minas de marcona,-15.2119,-75.1103,18.67,64,32,5.36,PE,1683839375
292,balykshi,47.0667,51.8667,13.0,82,40,9.0,KZ,1683839376
293,pijijiapan,15.7011,-93.23,32.28,58,54,3.87,MX,1683839376
294,midvagur,62.0511,-7.1939,9.46,81,100,1.54,FO,1683839376
295,moa,20.6569,-74.9403,28.25,73,25,4.4,CU,1683839376
296,hilo,19.7297,-155.09,26.85,68,40,4.12,US,1683839323
297,enewetak,11.3474,162.3373,27.52,84,78,6.66,MH,1683839381
298,uturoa,-16.7333,-151.4333,25.95,83,100,8.36,PF,1683839382
299,trogir,43.5125,16.2517,14.33,82,75,8.23,HR,1683839382
300,vorgashor,67.5833,63.95,-12.75,98,83,1.86,RU,1683839382
301,novo oriente,-5.5344,-40.7742,27.34,54,71,1.52,BR,1683839382
302,san jose del guaviare,2.5729,-72.6459,27.09,82,85,0.82,CO,1683839382
303,cleburne,32.3476,-97.3867,31.91,69,40,5.66,US,1683839350
304,tromso,69.6496,18.957,7.01,87,75,4.12,NO,1683839155
305,chibougamau,49.9168,-74.3659,19.78,29,13,3.74,CA,1683839380
306,ciudad insurgentes,25.2625,-111.7753,24.61,32,12,8.64,MX,1683839383
307,tazovsky,67.4667,78.7,-20.77,100,81,3.34,RU,1683839286
308,brisas de zicatela,15.8369,-97.0419,30.7,64,25,5.46,MX,1683839383
309,wewak,-3.5534,143.6268,26.19,85,88,1.8,PG,1683839383
310,sallisaw,35.4604,-94.7875,28.91,64,0,5.14,US,1683839383
311,yung shue wan,22.2333,114.1167,24.26,78,100,0.45,HK,1683839384
312,mata-utu,-13.2816,-176.1745,29.11,66,97,7.04,WF,1683839384
313,iskateley,67.6803,53.1512,0.3,98,100,5.13,RU,1683839384
314,aasiaat,68.7098,-52.8699,-2.04,76,100,3.27,GL,1683839093
315,caconda,-13.7333,15.0667,15.29,46,20,2.07,AO,1683839384
316,samana,19.2056,-69.3369,31.12,62,40,4.12,DO,1683839385
317,neyshabur,36.2133,58.7958,19.03,53,6,1.56,IR,1683839385
318,turaif,31.6725,38.6637,25.23,18,13,4.4,SA,1683839385
319,saint-pierre,-21.3393,55.4781,22.82,73,0,3.09,RE,1683839385
320,dubbo,-32.25,148.6167,6.07,93,0,5.14,AU,1683839385
321,luderitz,-26.6481,15.1594,15.85,69,100,9.79,NA,1683839385
322,ilhabela,-23.7781,-45.3581,20.94,85,32,2.88,BR,1683839385
323,aras-asan,8.8908,126.3033,25.39,85,98,1.53,PH,1683839386
324,allen,41.0706,-85.0144,27.51,27,40,3.6,US,1683839386
325,onokhoy,51.932,108.0747,-3.14,70,9,1.03,RU,1683839386
326,whitehorse,60.7161,-135.0538,15.57,32,100,8.05,CA,1683839386
327,aleg,17.0481,-13.9209,34.5,17,7,7.91,MR,1683839391
328,jijiga,9.35,42.8,18.6,82,9,1.83,ET,1683839392
329,n'zeto,-7.2312,12.8666,26.57,90,9,3.16,AO,1683839392
330,timimoun,29.2639,0.231,32.7,12,15,4.27,DZ,1683839397
331,porbandar,21.6422,69.6093,29.66,57,0,4.82,IN,1683839397
332,carbondale,37.7273,-89.2168,27.25,65,20,6.69,US,1683839398
333,richards bay,-28.783,32.0377,19.31,90,0,2.66,ZA,1683839398
334,sept-iles,50.2001,-66.3821,13.29,51,100,4.12,CA,1683839105
335,urucui,-7.2294,-44.5561,29.02,55,100,2.1,BR,1683839301
336,kuqa,41.7278,82.9364,17.51,12,50,1.43,CN,1683839399
337,elliot lake,46.3834,-82.6331,20.86,56,63,4.84,CA,1683839399
338,general conesa,-40.1,-64.4333,18.96,34,100,6.06,AR,1683839399
339,bonthe,7.5264,-12.505,27.59,79,73,3.72,SL,1683839307
340,muroto-misakicho,33.2833,134.15,17.19,58,2,2.56,JP,1683839399
341,santaluz,-11.2558,-39.3747,26.73,57,24,2.79,BR,1683839400
342,beloyarskiy,63.7119,66.6722,-1.89,95,86,1.27,RU,1683839400
343,salinas,36.6777,-121.6555,21.98,66,20,6.17,US,1683839142
344,leava,-14.3,-178.1667,28.82,70,19,8.12,WF,1683839401
345,lazaro cardenas,17.9583,-102.2,30.16,62,75,5.2,MX,1683839401
346,kruisfontein,-34.0033,24.7314,14.92,81,100,7.5,ZA,1683839401
347,swakopmund,-22.6833,14.5333,14.99,87,100,0.89,NA,1683839126
348,ottumwa,41.02,-92.4113,27.3,61,75,5.14,US,1683839227
349,gola gokarannath,28.0833,80.4667,26.83,14,0,1.63,IN,1683839402
350,greymouth,-42.4667,171.2,6.28,66,8,2.85,NZ,1683839402
351,kharp,66.8014,65.8081,-11.17,94,40,2.01,RU,1683839403
352,cochin,9.9399,76.2602,25.99,80,100,0.8,IN,1683839403
353,constantia,44.1833,28.65,8.38,71,20,4.28,RO,1683839324
354,cabo san lucas,22.8909,-109.9124,30.34,44,28,5.83,MX,1683838782
355,buchanan,5.8808,-10.0467,26.69,87,77,0.52,LR,1683839196
356,nuku'alofa,-21.1333,-175.2,25.74,82,39,5.31,TO,1683839382
357,susuman,62.7833,148.1667,1.16,82,80,0.43,RU,1683839404
358,saint clairsville,40.0806,-80.9001,26.33,35,37,0.95,US,1683839405
359,urengoy,65.9667,78.3667,-14.54,96,44,3.41,RU,1683839405
360,yeniseysk,58.4497,92.1703,2.53,64,23,0.56,RU,1683839405
